,fips,valid_start,valid_end,none,d0,d1,d2,d3,d4,diff
204,1031,2014-01-07,2014-01-13,92.28,7.72,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
205,1031,2014-01-28,2014-02-17,93.11,6.89,0.0,0.0,0.0,0.0,20 days 00:00:00.000000000
206,1031,2014-03-11,2014-04-07,58.42,41.58,0.0,0.0,0.0,0.0,27 days 00:00:00.000000000
207,1031,2014-07-08,2014-07-21,9.149999999999999,90.85,0.0,0.0,0.0,0.0,13 days 00:00:00.000000000
208,1031,2014-07-29,2015-05-25,759.4699999999997,3177.8299999999986,352.96999999999997,9.729999999999999,0.0,0.0,300 days 00:00:00.000000000
209,1031,2015-07-21,2015-10-05,0.14999999999999716,88.162,131.68800000000002,0.0,0.0,0.0,76 days 00:00:00.000000000
210,1031,2015-10-20,2015-11-02,79.93,20.07,0.0,0.0,0.0,0.0,13 days 00:00:00.000000000
211,1031,2015-12-15,2015-12-21,99.91,0.09,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
212,1031,2016-08-30,2016-09-05,99.81,0.19,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
213,1031,2016-09-13,2017-01-02,94.8,29.619999999999997,110.56500000000001,99.78,65.23,0.0,111 days 00:00:00.000000000
214,1031,2017-03-28,2017-05-29,12.863333333333335,123.89333333333332,163.24333333333334,0.0,0.0,0.0,62 days 00:00:00.000000000
215,1031,2017-11-28,2018-01-01,0.0,80.846,19.154000000000003,0.0,0.0,0.0,34 days 00:00:00.000000000
216,1033,2010-03-09,2010-03-15,0.0,100.0,0.0,0.0,0.0,0.0,6 days 00:00:00.000000000
